"Liturgical Season","Sundays & Feast Days Requiring Cantatas","Theological Focus & Assigned Gospel Reading"
"Advent","Advent I","Christ's entry into Jerusalem (Anticipation of the Messiah)."
"","(Advent II, III, & IV)","Tempus Clausum (Closed Time). Concerted music forbidden."
"Christmastide","Christmas Day (Dec 25)","The Incarnation; The Nativity (Luke 2)."
"","Christmas 2 (Dec 26)","Feast of St. Stephen (The first Christian martyr)."
"","Christmas 3 (Dec 27)","Feast of St. John the Evangelist."
"","Sunday after Christmas","Simeon's prophecy or the flight into Egypt."
"","New Year’s Day (Jan 1)","The Circumcision and Naming of Jesus."
"","Sunday after New Year","The flight into Egypt / Return from Egypt."
"Epiphany","Epiphany (Jan 6)","The Adoration of the Magi (Revelation to the Gentiles)."
"","Epiphany I","The 12-year-old Jesus in the Temple."
"","Epiphany II","The Wedding at Cana (Christ's first miracle)."
"","Epiphany III","The healing of the leper and the centurion's servant."
"","Epiphany IV, V, & VI","Jesus calms the storm; The parable of the weeds among the wheat."
"Pre-Lent","Septuagesima (9 weeks before Easter)","The parable of the workers in the vineyard."
"","Sexagesima (8 weeks before Easter)","The parable of the sower."
"","Estomihi (7 weeks before Easter)","Jesus announces his impending death; healing the blind man."
"Lent","(Invocabit, Reminiscere, Oculi, Laetare, Judica)","Tempus Clausum (Closed Time). Bach prepared his Passions during these five silent weeks."
"Holy Week","Palm Sunday","Christ's entry into Jerusalem. (Often shared music with Advent I or Annunciation)."
"","Good Friday","The reading of the Passion narrative (St. John or St. Matthew)."
"Eastertide","Easter Sunday","The Resurrection; The empty tomb (Mark 16)."
"","Easter Monday","The road to Emmaus (Luke 24)."
"","Easter Tuesday","Jesus appears to the disciples (Luke 24)."
"","Quasimodogeniti (Easter I)","Doubting Thomas (John 20)."
"","Misericordias Domini (Easter II)","The Good Shepherd (John 10)."
"","Jubilate (Easter III)","Jesus prophesies his departure (John 16)."
"","Cantate (Easter IV)","Jesus promises the Comforter/Holy Spirit (John 16)."
"","Rogate (Easter V)","Praying in Jesus' name (John 16)."
"Ascension","Ascension Day (Thursday)","Christ’s return to heaven (Mark 16)."
"","Exaudi (Ascension I)","The promise of the Holy Spirit (John 15)."
"Pentecost","Pentecost Sunday","The descent of the Holy Spirit (John 14)."
"","Pentecost Monday","God so loved the world (John 3)."
"","Pentecost Tuesday","Jesus as the door to the sheepfold (John 10)."
"Trinity Season","Trinity Sunday","The mystery of the Triune God; Nicodemus (John 3)."
"","Trinity I","The parable of the rich man and Lazarus (Luke 16)."
"","Trinity II","The parable of the great banquet (Luke 14)."
"","Trinity III","The parable of the lost sheep (Luke 15)."
"","Trinity IV","Be merciful, do not judge (Luke 6)."
"","Trinity V","The miraculous catch of fish (Luke 5)."
"","Trinity VI","Exceeding the righteousness of the Pharisees (Matt 5)."
"","Trinity VII","The feeding of the four thousand (Mark 8)."
"","Trinity VIII","Beware of false prophets (Matt 7)."
"","Trinity IX","The parable of the unjust steward (Luke 16)."
"","Trinity X","Jesus weeps over Jerusalem (Luke 19)."
"","Trinity XI","The parable of the Pharisee and the tax collector (Luke 18)."
"","Trinity XII","The healing of the deaf and mute man (Mark 7)."
"","Trinity XIII","The parable of the Good Samaritan (Luke 10)."
"","Trinity XIV","The healing of the ten lepers (Luke 17)."
"","Trinity XV","Do not worry about tomorrow; lilies of the field (Matt 6)."
"","Trinity XVI","The raising of the widow's son at Nain (Luke 7)."
"","Trinity XVII","Healing the man with dropsy on the Sabbath (Luke 14)."
"","Trinity XVIII","The greatest commandment (Matt 22)."
"","Trinity XIX","Healing the paralytic (Matt 9)."
"","Trinity XX","The parable of the wedding banquet (Matt 22)."
"","Trinity XXI","The healing of the official's son (John 4)."
"","Trinity XXII","The parable of the unforgiving servant (Matt 18)."
"","Trinity XXIII","Paying taxes to Caesar (Matt 22)."
"","Trinity XXIV","The raising of Jairus's daughter (Matt 9)."
"","Trinity XXV","The abomination of desolation (Matt 24)."
"","Trinity XXVI","The Final Judgment (Matt 25)."
"","Trinity XXVII (Rare)","The parable of the ten virgins (Matt 25)."
"Fixed Feasts","Purification of Mary (Feb 2)","Simeon's prophecy / Nunc dimittis (Luke 2)."
"(Fall on any day)","Annunciation (Mar 25)","The Angel Gabriel visits Mary (Luke 1)."
"","St. John the Baptist (Jun 24)","The birth of John the Baptist (Luke 1)."
"","Visitation (Jul 2)","Mary visits Elizabeth; The Magnificat (Luke 1)."
"","St. Michael and All Angels (Sep 29)","The war in heaven; the protection of angels (Rev 12 / Matt 18)."
"","Reformation Day (Oct 31)","Local civic and religious festival celebrating Luther."